#2th	#Int
12.030	2563.4500
12.032	2562.9570
12.034	2563.0060
12.036	2561.8360
12.037	2561.0450
12.039	2561.0730
12.041	2562.6730
12.042	2563.0360
12.044	2564.1160
12.046	2566.1090
12.048	2566.9490
12.049	2566.1260
12.051	2565.8160
12.053	2567.0100
12.055	2567.3070
12.056	2568.5370
12.058	2568.7320
12.060	2567.4000
12.062	2565.9210
12.063	2565.8180
12.065	2567.8710
12.067	2566.7370
12.068	2568.9580
12.070	2572.3220
12.072	2571.6310
12.074	2571.0530
12.075	2569.5420
12.077	2569.4200
12.079	2568.6540
12.081	2569.5350
12.082	2571.0580
12.084	2570.9580
12.086	2571.0870
12.088	2571.5630
12.089	2570.7330
12.091	2571.8890
12.093	2571.5000
12.094	2573.3180
12.096	2573.7680
12.098	2573.8070
12.100	2573.1060
12.101	2572.4650
12.103	2573.8770
12.105	2574.7910
12.107	2575.8520
12.108	2575.7460
12.110	2578.2630
12.112	2579.3070
12.114	2578.6830
12.115	2576.8220
12.117	2575.9060
12.119	2574.2710
12.120	2573.3720
12.122	2573.7010
12.124	2572.5020
12.126	2570.5160
12.127	2570.3220
12.129	2570.0100
12.131	2572.1440
12.133	2572.9010
12.134	2574.5320
12.136	2576.7420
12.138	2577.0840
12.140	2575.3260
12.141	2572.1490
12.143	2573.6850
12.145	2572.9300
12.146	2573.1600
12.148	2572.7080
12.150	2570.4700
12.152	2567.7780
12.153	2568.4130
12.155	2567.7340
12.157	2569.2960
12.159	2568.8150
12.160	2571.1940
12.162	2573.0920
12.164	2573.3990
12.166	2573.8240
12.167	2575.7100
12.169	2575.8890
12.171	2575.2050
12.172	2574.3270
12.174	2574.2420
12.176	2572.4470
12.178	2572.3830
12.179	2571.9190
12.181	2571.1440
12.183	2571.8520
12.185	2570.4410
12.186	2570.9060
12.188	2572.2440
12.190	2573.7540
12.192	2573.3460
12.193	2573.0690
12.195	2573.1120
12.197	2573.8240
12.198	2573.6610
12.200	2574.9360
12.202	2573.3190
12.204	2573.6220
12.205	2573.5870
12.207	2573.3650
12.209	2574.0420
12.211	2571.1750
12.212	2571.6550
12.214	2572.8630
12.216	2573.6550
12.218	2574.1460
12.219	2573.0800
12.221	2571.8620
12.223	2572.5330
12.224	2572.3830
12.226	2573.3680
12.228	2573.6050
12.230	2571.8020
12.231	2571.1760
12.233	2570.8370
12.235	2570.3690
12.237	2570.8030
12.238	2569.8060
12.240	2570.7110
12.242	2569.5990
12.244	2570.1300
12.245	2570.5060
12.247	2570.1400
12.249	2571.9170
12.250	2570.2160
12.252	2570.2910
12.254	2570.3110
12.256	2568.9710
12.257	2568.4670
12.259	2567.4180
12.261	2567.2000
12.263	2568.4330
12.264	2566.6540
12.266	2567.1060
12.268	2566.9190
12.270	2566.4920
12.271	2566.1580
12.273	2566.1100
12.275	2568.3960
12.276	2567.1150
12.278	2568.5710
12.280	2568.9200
12.282	2568.5880
12.283	2567.7020
12.285	2568.6920
12.287	2569.7390
12.289	2569.4240
12.290	2567.6440
12.292	2567.7510
12.294	2566.8010
12.296	2566.9090
12.297	2567.0280
12.299	2566.1380
12.301	2565.3570
12.302	2565.1310
12.304	2564.5720
12.306	2564.7490
12.308	2565.8420
12.309	2566.6280
12.311	2566.2810
12.313	2565.6990
12.315	2567.4890
12.316	2565.1070
12.318	2565.0480
12.320	2564.0280
12.322	2561.4190
12.323	2560.5630
12.325	2559.2560
12.327	2558.8700
12.328	2561.0500
12.330	2560.5490
12.332	2561.0050
12.334	2560.9370
12.335	2561.2950
12.337	2560.3200
12.339	2559.4310
12.341	2561.0140
12.342	2560.8590
12.344	2559.8490
12.346	2558.7020
12.348	2559.8100
12.349	2560.7360
12.351	2562.4650
12.353	2563.1280
12.354	2564.9640
12.356	2562.6200
12.358	2561.4660
12.360	2560.6670
12.361	2560.0000
12.363	2559.5110
12.365	2557.7320
12.367	2556.3160
12.368	2556.2810
12.370	2554.4300
12.372	2554.7280
12.374	2554.2080
12.375	2553.6810
12.377	2553.0450
12.379	2550.8270
12.380	2552.9310
12.382	2550.6930
12.384	2549.9540
12.386	2549.4280
12.387	2550.3520
12.389	2550.7200
12.391	2550.3740
12.393	2551.4520
12.394	2552.8800
12.396	2552.2180
12.398	2551.9580
12.400	2553.0020
12.401	2552.4500
12.403	2551.9710
12.405	2550.5420
12.406	2552.5180
12.408	2552.2750
12.410	2550.8220
12.412	2550.8700
12.413	2551.0010
12.415	2551.6340
12.417	2550.4980
12.419	2551.0090
12.420	2552.9110
12.422	2550.0860
12.424	2549.7230
12.426	2548.1720
12.427	2548.7080
12.429	2548.2300
12.431	2548.1940
12.432	2550.4810
12.434	2550.8730
12.436	2548.9120
12.438	2548.7050
12.439	2547.3720
12.441	2546.5880
12.443	2545.7720
12.445	2546.8620
12.446	2549.3760
12.448	2546.9920
12.450	2546.5680
12.452	2546.9320
12.453	2547.8110
12.455	2548.3260
12.457	2548.4310
12.458	2547.8740
12.460	2547.6160
12.462	2544.0740
12.464	2543.5860
12.465	2542.9070
12.467	2541.5950
12.469	2539.8590
12.471	2539.1480
12.472	2537.1620
12.474	2536.9880
12.476	2534.7290
12.478	2534.8480
12.479	2533.2710
12.481	2532.1520
12.483	2531.9020
12.484	2531.8620
12.486	2534.1590
12.488	2535.6660
12.490	2534.8510
12.491	2534.2330
12.493	2533.2470
12.495	2534.0770
12.497	2534.3160
12.498	2534.8320
12.500	2535.7090
12.502	2532.9460
12.504	2531.0040
12.505	2531.5010
12.507	2530.1320
12.509	2528.0310
12.510	2526.3720
12.512	2525.8990
12.514	2523.3030
12.516	2521.9360
12.517	2520.3200
12.519	2519.2520
12.521	2518.8650
12.523	2517.4300
12.524	2516.3060
12.526	2518.0500
12.528	2515.0220
12.530	2512.6150
12.531	2510.9770
12.533	2510.7900
12.535	2510.4240
12.536	2510.0230
12.538	2510.3920
12.540	2508.3080
12.542	2504.6280
12.543	2503.9600
12.545	2503.8820
12.547	2505.0620
12.549	2505.0970
12.550	2506.2510
12.552	2508.7520
12.554	2507.4510
12.556	2507.9580
12.557	2509.0670
12.559	2509.3840
12.561	2509.4730
12.562	2509.8930
12.564	2510.6970
12.566	2510.2560
12.568	2506.1900
12.569	2504.2790
12.571	2503.8620
12.573	2504.4880
12.575	2505.1880
12.576	2504.5230
12.578	2505.1050
12.580	2503.3790
12.582	2502.2320
12.583	2502.0130
12.585	2502.7800
12.587	2503.7300
12.588	2503.2760
12.590	2502.7640
12.592	2504.6410
12.594	2502.5430
12.595	2501.7080
12.597	2501.8000
12.599	2503.0880
12.601	2501.2880
12.602	2501.1600
12.604	2501.1490
12.606	2500.2270
12.608	2496.7350
12.609	2495.5330
12.611	2495.3960
12.613	2494.4440
12.614	2494.3330
12.616	2492.0350
12.618	2492.6790
12.620	2488.9490
12.621	2487.2390
12.623	2487.2470
12.625	2486.7000
12.627	2485.6850
12.628	2485.0650
12.630	2485.0010
12.632	2486.5650
12.634	2484.1880
12.635	2484.2540
12.637	2484.7000
12.639	2484.4320
12.641	2484.4590
12.642	2483.8930
12.644	2484.2820
12.646	2482.9330
12.647	2482.9900
12.649	2483.2550
12.651	2483.2970
12.653	2484.4730
12.654	2483.9670
12.656	2481.1160
12.658	2483.6270
12.660	2482.1400
12.661	2481.2730
12.663	2480.6290
12.665	2479.1330
12.667	2478.1420
12.668	2475.5270
12.670	2476.2520
12.672	2477.1490
12.673	2474.8770
12.675	2474.4500
12.677	2474.0560
12.679	2474.6880
12.680	2474.1400
12.682	2472.3950
12.684	2475.1740
12.686	2473.4110
12.687	2471.4020
12.689	2470.6700
12.691	2470.0570
12.693	2469.5740
12.694	2469.5460
12.696	2470.5280
12.698	2473.4530
12.699	2470.5070
12.701	2469.9540
12.703	2469.7540
12.705	2469.4120
12.706	2468.2070
12.708	2466.3630
12.710	2468.3540
12.712	2469.5000
12.713	2466.1540
12.715	2466.5910
12.717	2465.4010
12.719	2464.3750
12.720	2464.6320
12.722	2464.9210
12.724	2468.1060
12.725	2465.0550
12.727	2462.0540
12.729	2461.5380
12.731	2460.8150
12.732	2460.2050
12.734	2459.3530
12.736	2460.0960
12.738	2460.4450
12.739	2455.8320
12.741	2455.9340
12.743	2456.2810
12.745	2455.4550
12.746	2455.6600
12.748	2454.2940
12.750	2456.5820
12.751	2455.8700
12.753	2453.0500
12.755	2452.8580
12.757	2451.1720
12.758	2450.4440
12.760	2449.3310
12.762	2449.2700
12.764	2452.4570
12.765	2449.7160
12.767	2446.7740
12.769	2447.1180
12.771	2446.2390
12.772	2446.2630
12.774	2446.3840
12.776	2448.5090
12.777	2448.7680
12.779	2445.6510
12.781	2443.9510
12.783	2443.1210
12.784	2442.5760
12.786	2442.8410
12.788	2441.5210
12.790	2445.5100
12.791	2442.5500
12.793	2439.9170
12.795	2439.3120
12.797	2440.2370
12.798	2441.5140
12.800	2442.0470
12.802	2442.4460
12.803	2443.3680
12.805	2439.5910
12.807	2436.5400
12.809	2436.5470
12.810	2436.7350
12.812	2436.5890
12.814	2435.5980
12.816	2437.1460
12.817	2436.4210
12.819	2433.0010
12.821	2431.9020
12.823	2433.1480
12.824	2433.5110
12.826	2432.0120
12.828	2430.4670
12.829	2433.4640
12.831	2429.9040
12.833	2427.4520
12.835	2428.3870
12.836	2429.1190
12.838	2427.7630
12.840	2429.2620
12.842	2431.2710
12.843	2432.0690
12.845	2429.3070
12.847	2428.9110
12.849	2429.6060
12.850	2428.8520
12.852	2427.5490
12.854	2425.6350
12.855	2427.8590
12.857	2424.9570
12.859	2421.6790
12.861	2421.1810
12.862	2419.9890
12.864	2419.1820
12.866	2419.5040
12.868	2418.3390
12.869	2419.4230
12.871	2416.4880
12.873	2414.6750
12.875	2414.9400
12.876	2415.4170
12.878	2414.6480
12.880	2413.2100
12.881	2415.7110
12.883	2415.3580
12.885	2413.1210
12.887	2413.8920
12.888	2414.0790
12.890	2415.2320
12.892	2413.6430
12.894	2412.5090
12.895	2416.3970
12.897	2414.3080
12.899	2412.6470
12.901	2411.6370
12.902	2409.6680
12.904	2408.4200
12.906	2406.9890
12.907	2407.0070
12.909	2407.8070
12.911	2406.4270
12.913	2405.5240
12.914	2404.9030
12.916	2404.6550
12.918	2404.2900
12.920	2402.5730
12.921	2405.1190
12.923	2405.0070
12.925	2402.6360
12.927	2400.7990
12.928	2398.2680
12.930	2397.8440
12.932	2397.5570
12.933	2397.2430
12.935	2400.5320
12.937	2398.3140
12.939	2396.2170
12.940	2396.2740
12.942	2396.9750
12.944	2396.9000
12.946	2395.5100
12.947	2397.7840
12.949	2397.7620
12.951	2395.8200
12.953	2394.4880
12.954	2393.4680
12.956	2392.6810
12.958	2390.9540
12.959	2391.1630
12.961	2395.1720
12.963	2393.6960
12.965	2390.2420
12.966	2388.4330
12.968	2386.2110
12.970	2385.0300
12.972	2383.6290
12.973	2385.0270
12.975	2386.8630
12.977	2383.8940
12.979	2381.7990
12.980	2381.6040
12.982	2381.7880
12.984	2381.6730
12.985	2382.9630
12.987	2385.9110
12.989	2384.4200
12.991	2381.7640
12.992	2380.8840
12.994	2379.9330
12.996	2378.9820
12.998	2377.7340
12.999	2377.1180
13.001	2380.7870
13.003	2379.7810
13.005	2377.0100
13.006	2375.7710
13.008	2375.8260
13.010	2376.0720
13.011	2375.9540
13.013	2379.4470
13.015	2380.4610
13.017	2376.6600
13.018	2374.3370
13.020	2373.6670
13.022	2372.8550
13.024	2372.2380
13.025	2371.3500
13.027	2373.9270
13.029	2372.9990
13.031	2370.3190
13.032	2369.8070
13.034	2368.7410
13.036	2369.2240
13.037	2368.4180
13.039	2369.2620
13.041	2372.4920
13.043	2370.2080
13.044	2366.1490
13.046	2365.2710
13.048	2365.0500
13.050	2365.0960
13.051	2365.4110
13.053	2367.8740
13.055	2368.8420
13.057	2366.4130
13.058	2365.4080
13.060	2364.3670
13.062	2364.2800
13.063	2364.6590
13.065	2364.0450
13.067	2367.5340
13.069	2364.1430
13.070	2359.3000
13.072	2358.5020
13.074	2357.9560
13.076	2357.1300
13.077	2356.2360
13.079	2357.9190
13.081	2359.6790
13.083	2357.3290
13.084	2354.4080
13.086	2353.5010
13.088	2352.6630
13.089	2352.3190
13.091	2352.6250
13.093	2356.2080
13.095	2354.0870
13.096	2350.5730
13.098	2349.4520
13.100	2349.4210
13.102	2348.5380
13.103	2346.5230
13.105	2346.4480
13.107	2348.9990
13.109	2347.3520
13.110	2342.6790
13.112	2342.7830
13.114	2343.2620
13.115	2343.0750
13.117	2343.7850
13.119	2347.5330
13.121	2349.4670
13.122	2346.4820
13.124	2343.2330
13.126	2343.1310
13.128	2343.2360
13.129	2343.3390
13.131	2342.7440
13.133	2346.4360
13.135	2342.5310
13.136	2339.7400
13.138	2338.7120
13.140	2339.6050
13.141	2339.8590
13.143	2339.4220
13.145	2338.1290
13.147	2340.3550
13.148	2338.0210
13.150	2335.3370
13.152	2335.2290
13.154	2334.8100
13.155	2334.0250
13.157	2332.5680
13.159	2335.4140
13.161	2336.9460
13.162	2335.1190
13.164	2333.4250
13.166	2333.9700
13.167	2333.8740
13.169	2332.2540
13.171	2331.9320
13.173	2335.1990
13.174	2332.1640
13.176	2329.7450
13.178	2329.1330
13.180	2327.5560
13.181	2324.9740
13.183	2323.8210
13.185	2325.5270
13.187	2327.6500
13.188	2324.2500
13.190	2322.2780
13.192	2321.4950
13.193	2320.2270
13.195	2321.4240
13.197	2322.1410
13.199	2327.2970
13.200	2326.3370
13.202	2322.7840
13.204	2321.1250
13.206	2321.6850
13.207	2320.3520
13.209	2320.2090
13.211	2319.9160
13.213	2323.5750
13.214	2320.2140
13.216	2317.2160
13.218	2317.3400
13.220	2316.9460
13.221	2315.7730
13.223	2313.7810
13.225	2315.7780
13.226	2315.8540
13.228	2313.4650
13.230	2312.0760
13.232	2311.2320
13.233	2311.5570
13.235	2312.7110
13.237	2312.4070
13.239	2316.5310
13.240	2315.2860
13.242	2313.1940
13.244	2311.8550
13.246	2310.9450
13.247	2310.2320
13.249	2308.5170
13.251	2308.7920
13.252	2311.3640
13.254	2308.1710
13.256	2303.8710
13.258	2303.6330
13.259	2302.0950
13.261	2301.6370
13.263	2300.6330
13.265	2303.6920
13.266	2305.0250
13.268	2303.3830
13.270	2303.1290
13.272	2304.0620
13.273	2303.9870
