#2th	#Int
12.2980	2732.9068
12.2990	2732.9269
12.3000	2732.8991
12.3010	2733.0944
12.3020	2732.9134
12.3030	2732.8638
12.3040	2732.6796
12.3050	2732.8046
12.3060	2732.6569
12.3070	2729.3491
12.3080	2728.8789
12.3090	2729.1717
12.3100	2731.9527
12.3110	2731.2787
12.3120	2733.0491
12.3130	2731.0586
12.3140	2731.0957
12.3150	2730.0421
12.3160	2728.5659
12.3170	2730.0277
12.3180	2728.5887
12.3190	2728.3803
12.3200	2726.9934
12.3210	2728.3930
12.3220	2728.8930
12.3230	2729.1039
12.3240	2729.2230
12.3250	2727.8293
12.3260	2726.4765
12.3270	2727.5336
12.3280	2726.1034
12.3290	2725.8593
12.3300	2726.0561
12.3310	2725.1766
12.3320	2725.0337
12.3330	2723.0116
12.3340	2723.9283
12.3350	2723.0983
12.3360	2725.6182
12.3370	2724.2467
12.3380	2724.3128
12.3390	2726.2121
12.3400	2727.3325
12.3410	2728.2551
12.3420	2726.5102
12.3430	2725.9435
12.3440	2725.1803
12.3450	2722.6795
12.3460	2724.5747
12.3470	2725.2354
12.3480	2724.8375
12.3490	2725.8596
12.3500	2726.0580
12.3510	2727.4326
12.3520	2725.6265
12.3530	2726.2336
12.3540	2724.1367
12.3550	2724.1962
12.3560	2725.9547
12.3570	2724.5616
12.3580	2722.8421
12.3590	2723.2088
12.3600	2720.4337
12.3610	2720.3980
12.3620	2721.3486
12.3630	2723.7534
12.3640	2722.9550
12.3650	2721.7217
12.3660	2722.2534
12.3670	2720.2058
12.3680	2718.4974
12.3690	2717.6811
12.3700	2718.4725
12.3710	2717.4957
12.3720	2713.1962
12.3730	2713.7010
12.3740	2711.9782
12.3750	2711.3393
12.3760	2708.9958
12.3770	2706.8291
12.3780	2707.0381
12.3790	2707.5576
12.3800	2707.2956
12.3810	2712.7136
12.3820	2709.6779
12.3830	2708.6183
12.3840	2706.3904
12.3850	2705.3507
12.3860	2705.8031
12.3870	2706.4995
12.3880	2707.7757
12.3890	2707.1745
12.3900	2704.8888
12.3910	2704.3777
12.3920	2705.4656
12.3930	2707.3532
12.3940	2707.9198
12.3950	2708.0236
12.3960	2708.3827
12.3970	2710.8929
12.3980	2710.8024
12.3990	2708.8596
12.4000	2708.5398
12.4010	2707.3970
12.4020	2702.0732
12.4030	2703.1625
12.4040	2704.0643
12.4050	2704.7207
12.4060	2705.3398
12.4070	2704.5779
12.4080	2703.7267
12.4090	2702.3910
12.4100	2702.2791
12.4110	2700.9198
12.4120	2698.3532
12.4130	2697.5368
12.4140	2696.2630
12.4150	2694.7452
12.4160	2693.8047
12.4170	2693.8741
12.4180	2695.0646
12.4190	2697.9884
12.4200	2699.1432
12.4210	2701.6415
12.4220	2702.7367
12.4230	2704.2923
12.4240	2704.2768
12.4250	2702.3001
12.4260	2700.8775
12.4270	2700.1258
12.4280	2699.0127
12.4290	2699.5841
12.4300	2699.7457
12.4310	2701.1206
12.4320	2701.9918
12.4330	2703.4704
12.4340	2702.8581
12.4350	2706.3105
12.4360	2705.1339
12.4370	2703.7566
12.4380	2704.6297
12.4390	2701.3031
12.4400	2699.6246
12.4410	2698.8644
12.4420	2697.7632
12.4430	2697.5822
12.4440	2697.9600
12.4450	2695.9338
12.4460	2696.2843
12.4470	2694.7189
12.4480	2694.5658
12.4490	2696.2583
12.4500	2694.7709
12.4510	2694.1970
12.4520	2693.7160
